# BJD, RAW_FLUX, RAW_FLUX_ERR, CORR_FLUX, CORR_FLUX_ERR, PHASE

2455096.228767 50079.199219 7.706498 0.998473 0.000150 12.883877
2455096.249200 50106.238281 7.707772 0.999005 0.000150 12.885920
2455096.269632 50122.546875 7.708151 0.999323 0.000150 12.887963
2455096.290065 50153.023438 7.709518 0.999924 0.000150 12.890006
2455096.310498 50177.832031 7.710526 1.000412 0.000150 12.892050
2455096.330931 50208.820312 7.711672 1.001023 0.000150 12.894093
2455096.351364 50215.253906 7.712124 1.001145 0.000150 12.896136
2455096.371796 50221.742188 7.712464 1.001268 0.000150 12.898180
2455096.392229 50233.542969 7.712837 1.001497 0.000150 12.900223
2455096.412662 50243.144531 7.713176 1.001682 0.000150 12.902266
2455096.433095 50249.417969 7.713618 1.001801 0.000150 12.904310
2455096.453527 50214.910156 7.712254 1.001107 0.000150 12.906353
2455096.473960 50264.074219 7.713995 1.002081 0.000150 12.908396
2455096.494393 50215.320312 7.712183 1.001103 0.000150 12.910439
2455096.514826 50216.347656 7.712200 1.001118 0.000150 12.912483
2455096.535259 50214.574219 7.712193 1.001076 0.000150 12.914526
2455096.555691 50186.480469 7.710927 1.000511 0.000150 12.916569
2455096.576124 50195.199219 7.711652 1.000679 0.000150 12.918612
2455096.596557 50155.308594 7.709885 0.999878 0.000150 12.920656
2455096.616990 50193.734375 7.711354 1.000639 0.000150 12.922699
2455096.637422 50163.742188 7.710014 1.000035 0.000150 12.924742
2455096.657855 50174.328125 7.710507 1.000241 0.000150 12.926785
2455096.678288 50191.523438 7.711181 1.000578 0.000150 12.928829
2455096.698721 50221.679688 7.712426 1.001174 0.000150 12.930872
2455096.719154 50169.910156 7.710267 1.000137 0.000150 12.932915
2455096.739586 50169.750000 7.710398 1.000129 0.000150 12.934959
2455096.760019 50159.667969 7.709917 0.999923 0.000150 12.937002
2455096.780452 50128.472656 7.708861 0.999296 0.000150 12.939045
2455096.800885 50119.312500 7.708313 0.999108 0.000150 12.941088
2455096.821318 50096.812500 7.707514 0.998655 0.000150 12.943132
2455096.841750 50116.335938 7.708374 0.999039 0.000150 12.945175
2455096.862183 50088.949219 7.707098 0.998489 0.000150 12.947218
2455096.882616 50077.039062 7.706560 0.998247 0.000150 12.949262
2455096.903049 50077.085938 7.706636 0.998243 0.000150 12.951305
2455096.923481 50079.699219 7.706686 0.998290 0.000150 12.953348
2455096.943914 50093.035156 7.707203 0.998552 0.000150 12.955391
2455096.964347 50094.500000 7.707264 0.998576 0.000150 12.957435
2455096.984780 50136.679688 7.708972 0.999413 0.000150 12.959478
2455097.005213 50143.773438 7.709270 0.999550 0.000150 12.961521
2455097.025645 50172.687500 7.710347 1.000121 0.000150 12.963564
2455097.046078 50190.828125 7.711426 1.000479 0.000150 12.965608
2455097.066511 50214.714844 7.712206 1.000951 0.000150 12.967651
2455097.086944 50215.523438 7.712250 1.000962 0.000150 12.969694
2455097.107376 50243.921875 7.713283 1.001524 0.000150 12.971738
