Title: Discovery of a Detached, Eclipsing 40 min Period Double White Dwarf 
       Binary and a Friend: Implications for He+CO White Dwarf Mergers  
Authors: Brown W.R., Kilic M., Kosakowski A., Gianninas A.
Figure: Light curves of J0822 and J1043
================================================================================
Byte-by-byte Description of file: dbf3.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1- 26 A26    ---     ID     SDSS coordinate identifier
  28- 37 F10.8  d       HJD    Heliocentric Julian Date minus 2457814
  39- 45 F7.4   mag     mag    Relative magnitude (1)
  47- 52 F6.4   mag   e_mag    Uncertainty in mag
--------------------------------------------------------------------------------
SDSS J104336.275+055149.90 0.87316092  0.0498 0.0311
SDSS J104336.275+055149.90 0.87333452 -0.0431 0.0291
SDSS J104336.275+055149.90 0.87350811  0.0423 0.0331
SDSS J104336.275+055149.90 0.87368174  0.0452 0.0361
SDSS J104336.275+055149.90 0.87385534 -0.0051 0.0311
SDSS J104336.275+055149.90 0.87402894 -0.0265 0.0301
SDSS J104336.275+055149.90 0.87420257 -0.0290 0.0311
SDSS J104336.275+055149.90 0.87437617 -0.0649 0.0291
SDSS J104336.275+055149.90 0.87454976  0.0371 0.0291
SDSS J104336.275+055149.90 0.87472339 -0.0234 0.0251
SDSS J104336.275+055149.90 0.87489699 -0.0381 0.0231
SDSS J104336.275+055149.90 0.87507059 -0.0362 0.0241
SDSS J104336.275+055149.90 0.87524422  0.0422 0.0261
SDSS J104336.275+055149.90 0.87541781  0.0163 0.0261
SDSS J104336.275+055149.90 0.87559147 -0.0209 0.0261
SDSS J104336.275+055149.90 0.87576507  0.0191 0.0241
SDSS J104336.275+055149.90 0.87593867  0.0165 0.0251
SDSS J104336.275+055149.90 0.87611230 -0.0006 0.0321
SDSS J104336.275+055149.90 0.87628590  0.0788 0.0341
SDSS J104336.275+055149.90 0.87645949  0.0293 0.0301
SDSS J104336.275+055149.90 0.87663312 -0.0214 0.0291
SDSS J104336.275+055149.90 0.87680672  0.0231 0.0281
SDSS J104336.275+055149.90 0.87698032  0.0479 0.0281
SDSS J104336.275+055149.90 0.87715395 -0.0348 0.0231
SDSS J104336.275+055149.90 0.87732755 -0.0319 0.0231
SDSS J104336.275+055149.90 0.87750114  0.0045 0.0241
SDSS J104336.275+055149.90 0.87767477 -0.0622 0.0231
SDSS J104336.275+055149.90 0.87784837 -0.0309 0.0241
SDSS J104336.275+055149.90 0.87802197 -0.0038 0.0241
SDSS J104336.275+055149.90 0.87819563 -0.0121 0.0241
SDSS J104336.275+055149.90 0.87836922  0.0084 0.0241
SDSS J104336.275+055149.90 0.87854285 -0.0098 0.0251
SDSS J104336.275+055149.90 0.87871645 -0.0151 0.0231
SDSS J104336.275+055149.90 0.87889005 -0.0274 0.0251
SDSS J104336.275+055149.90 0.87906368 -0.0193 0.0251
SDSS J104336.275+055149.90 0.87923728  0.0245 0.0261
SDSS J104336.275+055149.90 0.87941087  0.0038 0.0261
SDSS J104336.275+055149.90 0.87958450  0.0124 0.0251
SDSS J104336.275+055149.90 0.87975810  0.0134 0.0271
SDSS J104336.275+055149.90 0.87993170  0.0198 0.0251
SDSS J104336.275+055149.90 0.88010533 -0.0095 0.0241
SDSS J104336.275+055149.90 0.88027892 -0.0090 0.0231
SDSS J104336.275+055149.90 0.88045252 -0.0154 0.0231
SDSS J104336.275+055149.90 0.88062615 -0.0079 0.0251
SDSS J104336.275+055149.90 0.88079978 -0.0008 0.0271
SDSS J104336.275+055149.90 0.88097341  0.0218 0.0271
SDSS J104336.275+055149.90 0.88114701  0.0047 0.0241
SDSS J104336.275+055149.90 0.88132060 -0.0394 0.0231
SDSS J104336.275+055149.90 0.88149423 -0.0210 0.0221
SDSS J104336.275+055149.90 0.88166783 -0.0042 0.0221
SDSS J104336.275+055149.90 0.88184143  0.0301 0.0231
SDSS J104336.275+055149.90 0.88201506 -0.0156 0.0221
SDSS J104336.275+055149.90 0.88218865 -0.0051 0.0241
SDSS J104336.275+055149.90 0.88236225 -0.0116 0.0241
SDSS J104336.275+055149.90 0.88253588 -0.0089 0.0231
SDSS J104336.275+055149.90 0.88270948  0.0232 0.0271
SDSS J104336.275+055149.90 0.88288308 -0.0127 0.0261
SDSS J104336.275+055149.90 0.88305671  0.0515 0.0301
SDSS J104336.275+055149.90 0.88323030  0.0481 0.0261
SDSS J104336.275+055149.90 0.88340396 -0.0246 0.0271
SDSS J104336.275+055149.90 0.88357756  0.0346 0.0241
SDSS J104336.275+055149.90 0.88375116  0.0403 0.0241
SDSS J104336.275+055149.90 0.88392479 -0.0590 0.0211
SDSS J104336.275+055149.90 0.88409838  0.0062 0.0221
SDSS J104336.275+055149.90 0.88427198 -0.0042 0.0231
SDSS J104336.275+055149.90 0.88444561  0.0116 0.0231
SDSS J104336.275+055149.90 0.88461921 -0.0124 0.0231
SDSS J104336.275+055149.90 0.88479281 -0.0120 0.0211
SDSS J104336.275+055149.90 0.88496644  0.0194 0.0231
SDSS J104336.275+055149.90 0.88514003 -0.0119 0.0231
SDSS J104336.275+055149.90 0.88531363 -0.0128 0.0231
SDSS J104336.275+055149.90 0.88548726 -0.0177 0.0221
SDSS J104336.275+055149.90 0.88566086  0.0125 0.0241
SDSS J104336.275+055149.90 0.88583446  0.0035 0.0231
SDSS J104336.275+055149.90 0.88600812  0.0044 0.0241
SDSS J104336.275+055149.90 0.88618171 -0.0003 0.0231
SDSS J104336.275+055149.90 0.88635534 -0.0026 0.0231
SDSS J104336.275+055149.90 0.88652894 -0.0018 0.0221
SDSS J104336.275+055149.90 0.88670254 -0.0100 0.0221
SDSS J104336.275+055149.90 0.88687617 -0.0014 0.0221
SDSS J104336.275+055149.90 0.88704977  0.0101 0.0221
SDSS J104336.275+055149.90 0.88722336 -0.0239 0.0221
SDSS J104336.275+055149.90 0.88739699 -0.0169 0.0211
SDSS J104336.275+055149.90 0.88757059 -0.0084 0.0221
SDSS J104336.275+055149.90 0.88774419 -0.0342 0.0221
SDSS J104336.275+055149.90 0.88791782  0.0008 0.0221
SDSS J104336.275+055149.90 0.88809141 -0.0011 0.0231
SDSS J104336.275+055149.90 0.88826501  0.0278 0.0231
SDSS J104336.275+055149.90 0.88843864 -0.0293 0.0211
SDSS J104336.275+055149.90 0.88861227 -0.0106 0.0231
SDSS J104336.275+055149.90 0.88878590 -0.0113 0.0241
SDSS J104336.275+055149.90 0.88895949 -0.0063 0.0241
SDSS J104336.275+055149.90 0.88913309  0.0356 0.0241
SDSS J104336.275+055149.90 0.88930672  0.0233 0.0241
SDSS J104336.275+055149.90 0.88948032 -0.0073 0.0251
SDSS J104336.275+055149.90 0.88965392 -0.0097 0.0261
SDSS J104336.275+055149.90 0.88982755  0.0255 0.0291
SDSS J104336.275+055149.90 0.89000115 -0.0002 0.0321
SDSS J104336.275+055149.90 0.89017474 -0.0113 0.0291
SDSS J104336.275+055149.90 0.89034837 -0.0081 0.0301
SDSS J104336.275+055149.90 0.89052197 -0.0101 0.0301
SDSS J104336.275+055149.90 0.89069557  0.0091 0.0311
SDSS J104336.275+055149.90 0.89086920 -0.0001 0.0251
SDSS J104336.275+055149.90 0.89104279  0.0002 0.0241
SDSS J104336.275+055149.90 0.89121645 -0.0102 0.0241
SDSS J104336.275+055149.90 0.89139005 -0.0040 0.0251
SDSS J104336.275+055149.90 0.89156365  0.0095 0.0251
SDSS J104336.275+055149.90 0.89173728  0.0286 0.0261
SDSS J104336.275+055149.90 0.89191087 -0.0188 0.0251
SDSS J104336.275+055149.90 0.89208447 -0.0329 0.0251
SDSS J104336.275+055149.90 0.89225810 -0.0347 0.0241
SDSS J104336.275+055149.90 0.89243170 -0.0484 0.0251
SDSS J104336.275+055149.90 0.89260530  0.0131 0.0251
SDSS J104336.275+055149.90 0.89277893  0.0423 0.0241
SDSS J104336.275+055149.90 0.89295252  0.0103 0.0271
SDSS J104336.275+055149.90 0.89312612 -0.0261 0.0281
SDSS J104336.275+055149.90 0.89329975 -0.0091 0.0251
SDSS J104336.275+055149.90 0.89347335  0.0340 0.0241
SDSS J104336.275+055149.90 0.89364695  0.0074 0.0271
SDSS J104336.275+055149.90 0.89382060  0.0127 0.0251
SDSS J104336.275+055149.90 0.89399420 -0.0138 0.0231
SDSS J104336.275+055149.90 0.89416783  0.0139 0.0241
SDSS J104336.275+055149.90 0.89434143 -0.0023 0.0241
SDSS J104336.275+055149.90 0.89451503  0.0356 0.0261
SDSS J104336.275+055149.90 0.89468866  0.0407 0.0241
SDSS J104336.275+055149.90 0.89486225  0.0144 0.0251
SDSS J104336.275+055149.90 0.89503585  0.0174 0.0251
SDSS J104336.275+055149.90 0.89520948 -0.0256 0.0231
SDSS J104336.275+055149.90 0.89538308  0.0280 0.0241
SDSS J104336.275+055149.90 0.89555668 -0.0182 0.0251
SDSS J104336.275+055149.90 0.89573030  0.0073 0.0241
SDSS J104336.275+055149.90 0.89590390 -0.0009 0.0241
SDSS J104336.275+055149.90 0.89607750 -0.0308 0.0241
SDSS J104336.275+055149.90 0.89625113 -0.0412 0.0241
SDSS J104336.275+055149.90 0.89642476  0.0437 0.0241
SDSS J104336.275+055149.90 0.89659839 -0.0160 0.0251
SDSS J104336.275+055149.90 0.89677198  0.0237 0.0271
SDSS J104336.275+055149.90 0.89694558 -0.0271 0.0241
SDSS J104336.275+055149.90 0.89711921  0.0556 0.0261
SDSS J104336.275+055149.90 0.89729281 -0.0262 0.0241
SDSS J104336.275+055149.90 0.89746641 -0.0196 0.0241
SDSS J104336.275+055149.90 0.89764004  0.0058 0.0251
SDSS J104336.275+055149.90 0.89781363  0.0202 0.0231
SDSS J104336.275+055149.90 0.89798723 -0.0010 0.0231
